Sample_location,Sample_type_1,Sample name,Media_type,Treatment,Sample_type_2
1,sponge,114A-1,ISP2M50,heat_shock,Marine_water
1,sponge,114A-2,ISP2M50,heat_shock,Marine_water
1,sponge,114A-3,NZSGM,heat_shock,Marine_water
1,sponge,114A-4,SWA,heat_shock,Marine_water
1,algae,114B-1,A1M50,heat_shock,Marine_water
1,algae,114B-2,A1M50,heat_shock,Marine_water
1,algae,114B-4,ISP2M50,heat_shock,Marine_water
1,algae,114B-5-Aeromicrobium fastidiosum,NZSGM,heat_shock,Marine_water
1,algae,114B-6,SWA,heat_shock,Marine_water
1,algae,114B-7,SWA,heat_shock,Marine_water
1,algae,114B-8,SWA,heat_shock,Marine_water
1,algae,114B-9,SWA,heat_shock,Marine_water
1,algae,114B-10,NZSGM,heat_shock,Marine_water
1,sediment,114C-1,ISP2M50,heat_shock,Marine_water
1,sediment,114C-2,ISP2M50,heat_shock,Marine_water
1,sediment,114C-3,ISP2M50,heat_shock,Marine_water
1,sediment,114C-4,ISP2M50,heat_shock,Marine_water
1,sediment,114C-5,NZSGM,heat_shock,Marine_water
1,sediment,114C-6,Chitin,heat_shock,Marine_water
1,algae,114D-1,A1M50,heat_shock,Marine_water
1,algae,114D-2,A1M50,heat_shock,Marine_water
1,algae,114D-3,A1M50,heat_shock,Marine_water
1,water,1.14E+01,SWA,no_heat_shock,Marine_water
1,water,1.14E-01,A1M50,no_heat_shock,Marine_water
1,water,1.14E-02,A1M50,no_heat_shock,Marine_water
1,water,1.14E-03,ISP2M50,no_heat_shock,Marine_water
1,water,1.14E-04,A1M50,no_heat_shock,Marine_water
1,water,1.14E-05,A1M50,no_heat_shock,Marine_water
2,sea_urchin_eggs,115A-1,A1M50,no_heat_shock,Marine_water
2,sea_urchin_eggs,115A-2,A1M50,no_heat_shock,Marine_water
2,sea_urchin_eggs,115A-3,A1M50,no_heat_shock,Marine_water
2,sea_urchin_eggs,115A-4,A1M50,no_heat_shock,Marine_water
2,sea_urchin_eggs,115A-5,A1M50,no_heat_shock,Marine_water
2,sediment,115B-1,ISP2M50,heat_shock,Marine_water
2,sediment,115B-2,ISP2M50,heat_shock,Marine_water
2,sediment,115B-3,ISP2M50,heat_shock,Marine_water
2,sediment,115B-4,ISP2M50,heat_shock,Marine_water
2,sediment,115B-5,ISP2M50,heat_shock,Marine_water
2,sediment,115B-6,ISP2M50,heat_shock,Marine_water
2,sediment,115B-7,ISP2M50,heat_shock,Marine_water
2,sediment,115B-8,A1M50,heat_shock,Marine_water
2,sediment,115B-9,NZSGM,heat_shock,Marine_water
2,sediment,115B-10,NZSGM,heat_shock,Marine_water
2,sediment,115B-11,SWA,heat_shock,Marine_water
2,sediment,115B-12,Chitin,heat_shock,Marine_water
2,sediment,115B-13,Chitin,heat_shock,Marine_water
2,sediment,115C-1,NZSGM,heat_shock,Marine_water
2,sediment,115D-1-Bacillus clausii,ISP2M50,heat_shock,Marine_water
2,sediment,115D-2,ISP2M50,heat_shock,Marine_water
2,sediment,115D-3,SWA,heat_shock,Marine_water
2,sediment,1.15E+01,NZSGM,heat_shock,Marine_water
2,sediment,115-2,NZSGM,heat_shock,Marine_water
3,algae,116A-1,A1F50,heat_shock,Freshwater
3,algae,116B-1,Chitin,heat_shock,Freshwater
3,algae,116B-2,A1F50,heat_shock,Freshwater
3,algae,116B-3,A1F50,heat_shock,Freshwater
3,algae,116B-4,A1F50,heat_shock,Freshwater
3,algae,116B-5,A1F50,heat_shock,Freshwater
3,algae,116B-6,A1F50,heat_shock,Freshwater
3,algae,116B-7,A1F50,heat_shock,Freshwater
3,algae,116B-8,A1F50,heat_shock,Freshwater
3,algae,116B-9,A1F50,heat_shock,Freshwater
3,algae,116B-10,A1F50,heat_shock,Freshwater
3,algae,116B-11,A1F50,heat_shock,Freshwater
3,algae,116B-12,A1F50,heat_shock,Freshwater
3,algae,116B-13,A1F50,heat_shock,Freshwater
3,algae,116B-14,A1F50,heat_shock,Freshwater
3,algae,116B-15,A1F50,heat_shock,Freshwater
3,algae,116B-16,A1F50,heat_shock,Freshwater
3,algae,116B-17,A1F50,heat_shock,Freshwater
3,algae,116B-18,A1F50,heat_shock,Freshwater
3,algae,116B-19,A1F50,heat_shock,Freshwater
3,algae,116B-20,A1F50,heat_shock,Freshwater
3,algae,116B-21,A1F50,heat_shock,Freshwater
3,algae,116B-22,A1F50,heat_shock,Freshwater
3,algae,116B-23,A1F50,heat_shock,Freshwater
3,algae,116B-24,A1F50,heat_shock,Freshwater
3,algae,116B-25,A1F50,heat_shock,Freshwater
3,algae,116B-26,A1F50,heat_shock,Freshwater
3,algae,116B-27,A1F50,heat_shock,Freshwater
3,algae,116B-28,A1F50,heat_shock,Freshwater
3,algae,116B-29,A1F50,heat_shock,Freshwater
3,algae,116B-30,A1F50,heat_shock,Freshwater
3,algae,116B-31,A1F50,heat_shock,Freshwater
3,algae,116B-32,A1F50,heat_shock,Freshwater
3,algae,116B-33,A1F50,heat_shock,Freshwater
3,algae,116B-34,A1F50,heat_shock,Freshwater
3,algae,116B-35,A1F50,heat_shock,Freshwater
3,algae,116B-36,A1F50,heat_shock,Freshwater
3,algae,116B-37,A1F50,heat_shock,Freshwater
3,algae,116B-38,A1F50,heat_shock,Freshwater
3,algae,116B-39,A1F50,heat_shock,Freshwater
3,algae,116B-40-Paenibacillus sp.,A1F50,heat_shock,Freshwater
3,algae,116B-41,A1F50,heat_shock,Freshwater
3,algae,116B-42,A1F50,heat_shock,Freshwater
3,algae,116B-43,A1F50,heat_shock,Freshwater
3,algae,116B-44,A1F50,heat_shock,Freshwater
3,algae,116B-45-Paenibacillus sp.,A1F50,heat_shock,Freshwater
3,algae,116B-46,A1F50,heat_shock,Freshwater
3,algae,116B-47,A1F50,heat_shock,Freshwater
3,algae,116B-48,A1F50,heat_shock,Freshwater
3,algae,116B-49,A1F50,heat_shock,Freshwater
3,algae,116B-50,A1F50,heat_shock,Freshwater
3,algae,116B-51,A1F50,heat_shock,Freshwater
3,algae,116B-52,A1F50,heat_shock,Freshwater
3,algae,116B-53,A1F50,heat_shock,Freshwater
